TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
particular:0:interest:1:old:0:paper,old interest particular paper,older papers of particular interest,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
bibliographic:0:database,bibliographic database,bibliographic database ,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
mid:0:1980,1980 mid,mid 1980s,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
fundamental:0:constant,fundamental constant,fundamental constants ,Fundamental Physical Constants Searchable Bibliography - SRD 123,3
constant,constant,constants,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
fundamental:0:constant:1:bibliographic:0:datum,fundamental constant bibliographic datum,bibliographic data fundamental constants,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
bibliographic:0:datum,datum bibliographic,bibliographic data,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
datum,datum,data,Fundamental Physical Constants Searchable Bibliography - SRD 123,3
square,square,squares,Fundamental Physical Constants Searchable Bibliography - SRD 123,3
reference:0:datum:1:standard,standard datum reference,Standards  Reference data,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
reference:0:datum,datum reference,Reference data,Fundamental Physical Constants Searchable Bibliography - SRD 123,3
reference,reference,Reference,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
standard,standard,Standards,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
electron:0:physics,physics electron,Electron physics,Fundamental Physical Constants Searchable Bibliography - SRD 123,3
physics,physics,physics,Fundamental Physical Constants Searchable Bibliography - SRD 123,6
nuclear:0:physics,physics nuclear,Nuclear physics,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
magnetic,magnetic,Magnetics,Fundamental Physical Constants Searchable Bibliography - SRD 123,2
rare:1:genomic:0:target:2:measure,measure genomic rare target,measure rare genomic targets,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
target,target,targets,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,5
measure,measure,measures,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
method,method,method,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
quantitative:0:method,method quantitative,quantitative methods,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
copy:0:number,number copy,copy number ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
copy,copy,copy,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
number,number,number,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
traditional:2:quantitation:0:optimization:1:strategy:3:prevent,quantitation optimization prevent strategy traditional,prevents traditional quantitation optimization strategies,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
optimization,optimization,optimization,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
primer,primer,primer,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
target:0:depend,depend target,depends upon the target,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
ddpcr,ddpcr,ddPCR,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
obstacle,obstacle,obstacles,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
transcription,transcription,transcription,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
mirna:0:measurement,mirna measurement,miRNA measurements ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
measurement,measurement,measurements,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,9
quantitative:1:real:0:time,quantitative real time,quantitative real time ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
optimize,optimize,optimized,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
reagent,reagent,reagents,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
use,use,use,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
traditional:2:ddpcr:1:quantification:0:method,ddpcr traditional quantification method,traditional ddPCR quantification methods,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
quantification,quantification,quantification,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
cause,cause,cause,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
